name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
othnielia,herbivorous,Late Jurassic,USA,euornithopod,1.4,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1877,rex,no,,
ouranosaurus,herbivorous,Early Cretaceous,Niger,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1976,nigeriensis,no,,
oviraptor,omnivorous,Late Cretaceous,Mongolia,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,1924,philoceratops,no,,
pachycephalosaurus,herbivorous,Late Cretaceous,USA,euornithopod,8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,1943,wyomingensis,no,,
pachyrhinosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,1950,canadensis,no,,
panoplosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1919,mirus,no,,
pantydraco,herbivorous,Early Jurassic,Wales,euornithopod,3,Dinosauria Saurischia,2003,caducus,no,,
paralititan,herbivorous,Late Cretaceous,Egypt,sauropod,28,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,2001,stromeri,no,,
parasaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,11,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1922,walkeri,no,,
parksosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1937,warrenae,no,,
patagosaurus,herbivorous,Mid Jurassic,Argentina,sauropod,18,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,1979,fariasi,no,,
pelicanimimus,carnivorous,Early Cretaceous,Spain,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,1994,polyodon,no,,
pelorosaurus,herbivorous,Early Cretaceous,United Kingdom,sauropod,25,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,1850,conybearei,no,,
pentaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,6.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,1923,sternbergi,no,,
piatnitzkysaurus,carnivorous,Late Jurassic,Argentina,large theropod,4.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,1979,floresi,no,,
pinacosaurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1933,grangeri,no,,
plateosaurus,herbivorous,Late Triassic,Switzerland,sauropod,7,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,1837,engelhardti,no,,
podokesaurus,carnivorous,Mid Jurassic,USA,small theropod,0.9,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,1911,holyokensis,no,,
poekilopleuron,carnivorous,Mid Jurassic,France,large theropod,9,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,1838,bucklandii,no,,
polacanthus,herbivorous,Early Cretaceous,United Kingdom,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,1881,foxii,no,,
prenocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,2.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,1974,prenes,no,,
probactrosaurus,herbivorous,Early Cretaceous,China,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1966,gobiensis,no,,
proceratosaurus,carnivorous,Mid Jurassic,United Kingdom,small theropod,4.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,1910,bradleyi,no,,
procompsognathus,carnivorous,Late Triassic,Germany,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,1913,triassicus,no,,
prosaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,7.6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1916,maximus,no,,
protarchaeopteryx,carnivorous,Early Cretaceous,China,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,1997,robusta,no,,
protoceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,1923,andrewsi,no,,
protohadros,herbivorous,Late Cretaceous,USA,euornithopod,6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,1998,byrdi,no,,
psittacosaurus,herbivorous,Early Cretaceous,Russia,ceratopsian,2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,1923,mongoliensis,no,,
quaesitosaurus,herbivorous,Late Cretaceous,Mongolia,sauropod,23,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,1983,orientalis,no,,
rebbachisaurus,herbivorous,Early Cretaceous,Morocco,sauropod,20,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,1954,garasbae,no,,
rhabdodon,herbivorous,Late Cretaceous,Spain,euornithopod,4,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,1869,priscus,no,,
rhoetosaurus,herbivorous,Mid Jurassic,Australia,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda,1926,brownei,no,,
rinchenia,omnivorous,Late Cretaceous,Mongolia,small theropod,2.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,1986,mongoliensis,no,,
riojasaurus,omnivorous,Late Triassic,Argentina,sauropod,5.15,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,1969,incertus,no,,
rugops,carnivorous,Late Cretaceous,Niger,large theropod,7,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,2004,primus,no,,
saichania,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.6,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1977,chulsanensis,no,,
saltasaurus,herbivorous,Late Cretaceous,Argentina,sauropod,12,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,1980,loricatus,no,,
saltopus,carnivorous,Late Triassic,United Kingdom,small theropod,1,Dinosauria,1910,elginensis,no,,
sarcosaurus,carnivorous,Early Jurassic,United Kingdom,small theropod,3,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,1921,woodi,no,,
saurolophus,herbivorous,Late Cretaceous,Mongolia,euornithopod,9,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1912,osborni,no,,
sauropelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,6.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1970,edwardsorum,no,,
saurophaganax,carnivorous,Late Jurassic,USA,large theropod,12,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,1996,maximus,no,,
saurornithoides,carnivorous,Late Cretaceous,Mongolia,small theropod,3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,1924,mongoliensis,no,,
scelidosaurus,herbivorous,Early Jurassic,United Kingdom,armoured dinosaur,4,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,1868,harrisonii,no,,
scutellosaurus,herbivorous,Early Jurassic,USA,armoured dinosaur,1.2,Dinosauria Ornithischia Genasauria Thyreophora,1981,lawleri,no,,
secernosaurus,herbivorous,Late Cretaceous,Argentina,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,1979,koerneri,no,,
segisaurus,carnivorous,Mid Jurassic,USA,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,1936,halli,no,,
segnosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,1979,galbinensis,no,,
shamosaurus,herbivorous,Early Cretaceous,Mongolia,armoured dinosaur,5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1983,scutatus,no,,
shanag,carnivorous,Early Cretaceous,Mongolia,small theropod,0.45,Dinosauria Saurischia,2007,ashile,no,,
shantungosaurus,herbivorous,Late Cretaceous,China,euornithopod,15,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,1973,giganteus,no,,
shunosaurus,herbivorous,Mid Jurassic,China,sauropod,10,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,1983,lii,no,,
shuvuuia,omnivorous,Late Cretaceous,Mongolia,small theropod,0.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,1998,deserti,no,,
silvisaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,4,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1960,condrayi,no,,
sinocalliopteryx,carnivorous,Early Cretaceous,China,small theropod,2.37,Dinosauria Saurischia,2007,gigas,no,,
sinornithosaurus,carnivorous,Early Cretaceous,China,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,1999,millenii,no,,
sinosauropteryx,carnivorous,Early Cretaceous,China,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,1996,prima,no,,
sinovenator,carnivorous,Early Cretaceous,China,small theropod,1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,2002,changii,no,,
sinraptor,carnivorous,Mid Jurassic,China,large theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,1992,hepingensis,no,,
sonidosaurus,herbivorous,Late Cretaceous,China,sauropod,9,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,2006,saihangaobiensis,no,,
spinosaurus,carnivorous,Late Cretaceous,Morocco,large theropod,18,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,1915,aegyptiacus,no,,
staurikosaurus,carnivorous,Late Triassic,Brazil,large theropod,2,Dinosauria Saurischia Theropoda Herrerasauridae,1970,pricei,no,,
stegoceras,herbivorous,Late Cretaceous,USA,euornithopod,2.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,1902,validum,no,,
stegosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,9,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,1877,armatus,no,,
stenopelix,herbivorous,Early Cretaceous,Germany,ceratopsian,1.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,1857,valdensis,no,,
struthiomimus,omnivorous,Late Cretaceous,Canada,small theropod,4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,1917,altus,no,,
struthiosaurus,herbivorous,Late Cretaceous,Spain,armoured dinosaur,2.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1871,austriacus,no,,
styracosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,5.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,1913,albertensis,no,,
suchomimus,carnivorous,Early Cretaceous,Niger,large theropod,11,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,1998,tenerensis,no,,
supersaurus,herbivorous,Early Cretaceous,USA,sauropod,35,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,1985,vivianae,no,,
talarurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1952,plicatospineus,no,,
tanius,herbivorous,Late Cretaceous,China,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,1929,sinensis,no,,
tarbosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,10,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,1955,bataar,no,,
tarchia,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,8.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,1956,gigantea,no,,
telmatosaurus,herbivorous,Late Cretaceous,Spain,euornithopod,5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,1900,transsylvanicus,no,,
tenontosaurus,herbivorous,Early Cretaceous,USA,euornithopod,7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,1970,tillettorum,no,,
thecodontosaurus,omnivorous,Late Triassic,United Kingdom,sauropod,2.5,Dinosauria Saurischia Sauropodomorpha Prosauropoda,1843,antiquus,no,,
therizinosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,12,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,1915,cheloniformis,no,,
thescelosaurus,herbivorous,Late Cretaceous,USA,euornithopod,3.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1913,neglectus,no,,
torosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,7.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,1891,latus,no,,
torvosaurus,carnivorous,Late Jurassic,USA,large theropod,10,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,1979,tanneri,no,,
triceratops,herbivorous,Late Cretaceous,USA,ceratopsian,9,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,1889,horridus,no,,
troodon,carnivorous,Late Cretaceous,USA,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,1856,formosus,no,,
tsagantegia,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,1993,longicranialis,no,,
tsintaosaurus,herbivorous,Late Cretaceous,China,euornithopod,12,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1958,spinorhinus,no,,
tuojiangosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,7,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,1973,multispinus,no,,
tylocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,1.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,1974,gilmorei,no,,
tyrannosaurus,carnivorous,Late Cretaceous,USA,large theropod,12,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,1905,rex,no,,
udanoceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,1992,tschizhovi,no,,
unenlagia,carnivorous,Late Cretaceous,Argentina,small theropod,2.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,1997,comahuensis,no,,
urbacodon,carnivorous,Late Cretaceous,Uzbekistan,small theropod,1,Dinosauria Saurischia,2007,itemirensis,no,,
utahraptor,carnivorous,Early Cretaceous,USA,large theropod,6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,1993,ostrommaysorum,no,,
valdosaurus,herbivorous,Early Cretaceous,United Kingdom,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,1975,canaliculatus,no,,
velociraptor,carnivorous,Late Cretaceous,Mongolia,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,1924,mongoliensis,no,,
vulcanodon,herbivorous,Early Jurassic,Zimbabwe,sauropod,6.5,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,1972,karibaensis,no,,
yandusaurus,herbivorous,Mid Jurassic,China,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1979,hongheensis,no,,
yangchuanosaurus,carnivorous,Late Jurassic,China,large theropod,10,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,1978,shangyouensis,no,,
yimenosaurus,herbivorous,Early Jurassic,China,sauropod,9,Dinosauria Saurischia Sauropodomorpha Prosauropoda,1990,youngi,no,,
yingshanosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,4.5,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,1992,jichuanensis,no,,
yinlong,herbivorous,Mid Jurassic,China,ceratopsian,1.2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,2006,downsi,no,,
yuanmousaurus,herbivorous,Mid Jurassic,China,sauropod,17,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,2006,jiangyiensis,no,,
yunnanosaurus,omnivorous,Early Jurassic,China,sauropod,7,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,1942,huangi,no,,
zalmoxes,herbivorous,Late Cretaceous,Romania,euornithopod,3,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,1902,robustus,no,,
zephyrosaurus,herbivorous,Early Cretaceous,USA,euornithopod,1.8,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,1980,schaffi,no,,
zuniceratops,herbivorous,Late Cretaceous,USA,ceratopsian,2.2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,1998,christopheri,no,,
